,DrugName,DrugSmiles,EC,ReactionCenter,ProductSmiles,ProductInChiKey
0,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3.2.1.21,29,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,BNSCASRSSGJHQH-UHFFFAOYSA-N
1,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.4.1.218,29,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,BNSCASRSSGJHQH-UHFFFAOYSA-N
2,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.4.1.237,29,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,BNSCASRSSGJHQH-UHFFFAOYSA-N
3,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.4.1.191,21,O=C(O)C1OC(Oc2ccc(-c3oc4cc(O)cc(O)c4c(=O)c3OC3OC(CO)C(O)C(O)C3O)cc2O)C(O)C(O)C1O,APOJGVHUFRJKFP-UHFFFAOYSA-N
4,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3.2.1.31,21,O=C(O)C1OC(Oc2ccc(-c3oc4cc(O)cc(O)c4c(=O)c3OC3OC(CO)C(O)C(O)C3O)cc2O)C(O)C(O)C1O,APOJGVHUFRJKFP-UHFFFAOYSA-N
5,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.4.1.191,23,O=C(O)C1OC(Oc2cc(-c3oc4cc(O)cc(O)c4c(=O)c3OC3OC(CO)C(O)C(O)C3O)ccc2O)C(O)C(O)C1O,CDVHSTLDOXLSBG-UHFFFAOYSA-N
6,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3.2.1.31,23,O=C(O)C1OC(Oc2cc(-c3oc4cc(O)cc(O)c4c(=O)c3OC3OC(CO)C(O)C(O)C3O)ccc2O)C(O)C(O)C1O,CDVHSTLDOXLSBG-UHFFFAOYSA-N
7,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.4.1.191,32,O=C(O)C1OC(Oc2cc(O)cc3oc(-c4ccc(O)c(O)c4)c(OC4OC(CO)C(O)C(O)C4O)c(=O)c23)C(O)C(O)C1O,AQARFQZYQRQIPN-UHFFFAOYSA-N
8,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3.2.1.31,32,O=C(O)C1OC(Oc2cc(O)cc3oc(-c4ccc(O)c(O)c4)c(OC4OC(CO)C(O)C(O)C4O)c(=O)c23)C(O)C(O)C1O,AQARFQZYQRQIPN-UHFFFAOYSA-N
9,Isoquercetin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3.2.1.21,21,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,RPVIQWDFJPYNJM-UHFFFAOYSA-N
